"job_id","company_name","job_title","job_title_short","job_location","salary_year_avg"
107183,"Bosch Group","Research Engineer (f/m/div.)","Data Analyst","Hildesheim, Germany","200000.0"
1202839,"Bosch Group","Technology Research Engineer for Power Semiconductors (f/m/div.)","Data Analyst","Renningen, Germany","200000.0"
156108,"Bosch Group","Research Engineer for Security and Privacy  (f/m/div.)","Data Analyst","Renningen, Germany","199675.0"
1263109,"Fraunhofer-Gesellschaft","Research Engineer* / Research Scientist* for Development of Radar...","Data Analyst","Germany","179500.0"
24675,"ServiceNow","Staff Research Engineer","Data Analyst","Amsterdam, Netherlands","177283.0"
59701,"Volt.io","Head of Data Analytics","Data Analyst","Berlin, Germany","166419.5"
20461,"PPRO","Head of Data Analytics (F/M/X)","Data Analyst","Munich, Germany","166419.5"
931367,"Datalogue GmbH","Data Architect (m/w/d)","Data Analyst","Hamburg, Germany","165000.0"
1719883,"LyondellBasell","Data Architect - Sustainability","Data Analyst","Netherlands","155000.0"
1051496,"Netflix","Analytics Engineer (L5) - Promotional Media - EMEA","Data Analyst","Amsterdam, Netherlands","147500.0"
1432577,"Salesforce","Sr. Business Analyst - Business Data Governance","Business Analyst","Mühlhausen, Germany","126000.0"
647890,"Delivery Hero","Senior Data Analyst","Senior Data Analyst","Germany","119400.0"
1437705,"AUTO1 Group","(Senior) Product Data Analyst (f/m/x)","Senior Data Analyst","Berlin, Germany","111202.0"
348471,"Adyen","Data Analyst, Reporting","Data Analyst","Amsterdam, Netherlands","111202.0"
537995,"Flink","Data Analyst/Manager - Last Mile Planning (m/f/d)","Data Analyst","Berlin, Germany","111202.0"
993951,"SIXT","(Senior) Data Analyst (m/w/d)","Senior Data Analyst","Rostock, Germany","111175.0"
634495,"TeamViewer","(Senior) Data Analyst / Data Engineer (all genders)","Senior Data Analyst","Göppingen, Germany","111175.0"
221741,"Wolt","(Senior) Data Analyst, Support domain","Senior Data Analyst","Berlin, Germany","111175.0"
774732,"Grover","(Senior) People Data Analyst (m/w/x)","Data Analyst","Germany","111175.0"
1344481,"Magno IT Recruitment","4295 Senior Data Analyst","Senior Data Analyst","Utrecht, Netherlands","111175.0"
